#OK
#SQL= SELECT                 
#	           MORF.* ,            
#	           SH.BlackHoleMass as MasaANegro ,                
#	           SH.BlackHoleMassAccretionRate as AcrecionMasaANegro ,                
#	           SH.Mass as Masa ,                
#	           SH.MassType_DM as MasaMateriaOscura ,            
#	           SH.MassType_Gas as MasaGas       
#	                      
#	       	                           
#	        FROM                 
#	           RecalL0025N0752_Morphokinem as MORF,                 
#	           RecalL0025N0752_Subhalo as SH                 
#	       	                           
#	        WHERE                 
#	           MORF.GalaxyID = SH.GalaxyID AND    
#	           MORF.DMEllipticity < 1
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 17 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=DMEllipticity JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 3 name=DiscToTotal JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 4 name=DispAnisotropy JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 5 name=Ellipticity JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 6 name=KappaCoRot JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 7 name=MedOrbitCircu JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 8 name=RotToDispRatio JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 9 name=Triaxiality JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 10 name=MasaANegro JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=AcrecionMasaANegro JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 12 name=Masa JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=MasaMateriaOscura JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=MasaGas JDBC_TYPE=7 JDBC_TYPENAME=real
GalaxyID,DMEllipticity,DiscToTotal,DispAnisotropy,Ellipticity,KappaCoRot,MedOrbitCircu,RotToDispRatio,Triaxiality,MasaANegro,AcrecionMasaANegro,Masa,MasaMateriaOscura,MasaGas
11,0.4011013387296778,0.39428762734652667,0.10417861917731264,0.456724124990757,0.30511068657369156,0.21211278001445477,0.526458947823354,0.2874468656666792,2120003.0,9.796852E-6,3.72966523E11,3.47429241E11,1.81112381E10
12,0.4205935592001573,0.26082031183666743,0.11313378127003326,0.37536153288995744,0.23445932782129975,0.11856214870376117,0.2930228031400103,0.6098390400401662,1187889.4,0.004403508,3.78501726E11,3.52471876E11,1.97974774E10
13,0.4391203914595746,0.18176025166211673,-0.1407188923047189,0.3673578119641392,0.176552222239796,0.06333087579138819,0.16807817387288365,0.9637002778570356,760181.44,1.5085062E-4,3.74687072E11,3.49832413E11,2.03434639E10
14,0.5911657443827145,0.1527367305856262,0.09893467569097614,0.47078671674344164,0.20707963756154693,0.07039752272639381,0.16593758292572608,0.9000536425994665,460009.25,7.6577883E-10,3.26869484E11,3.06313757E11,1.71607306E10
15,0.5310390669424017,0.12308688912095667,0.13618612122253382,0.369365900611203,0.19414271891436313,0.040846235522452215,0.13696880186203036,0.8898059015923674,308227.34,3.0130963E-8,2.86693327E11,2.66858562E11,1.72153569E10
16,0.41758635758813256,0.13418750673844848,-0.09154876329820394,0.40453384333808007,0.18844711417502122,0.062079681875418145,0.13721466903983917,0.9396293854458851,306991.03,1.17079886E-4,1.74775026E11,1.62109653E11,1.04870011E10
17,0.3888907711253915,0.30348243584774026,-0.34444821914498225,0.4178730802808871,0.2380904784721449,0.12424532625362349,0.35080218226955445,0.7922936005191054,299591.75,4.9392175E-9,1.55729281E11,1.43612723E11,1.07132477E10
18,0.5350429982535545,0.10906766063824103,-0.5127656630907225,0.5222333630042243,0.16496329660572162,0.03836359386964982,0.12320900034451099,0.8957448325507699,298789.03,2.5745007E-12,1.58338433E11,1.47016892E11,1.03812833E10
19,0.5228279196914432,0.13080111493395674,0.5128677863904485,0.6273069471882561,0.3624204551738769,0.04907279832542128,0.13556144105096435,0.9460179197595388,298686.7,2.8123625E-12,1.37561227E11,1.26354334E11,1.06391613E10
20,0.6340525620933567,0.10090779551372242,0.3267021232587648,0.5751929523268329,0.30070767671784593,0.03214191821411859,0.09445461994293708,0.7018311886505254,149276.22,1.6356111E-9,1.04510366E11,9.5738585E10,8.4408515E9
21,0.5843606379037591,0.11319866052196448,0.08837577208077074,0.5842513885998211,0.19059880224167952,0.06578266901279428,0.13290895597914235,0.8072852874958355,149272.88,1.4945085E-10,6.6954818E10,6.1395096E10,5.3360369E9
22,0.5587851685176846,0.035967112095705245,0.4423089801008302,0.644202080601132,0.16569080571357073,0.012718599894267608,0.03542692502813573,0.855409983457049,149265.92,9.608998E-13,4.5208916E10,4.1718993E10,3.31070822E9
23,0.5775572901364514,0.07876199177445031,0.19860566376438704,0.6094851723663703,0.16251461870229134,0.033061677894339274,0.07725020407761103,0.7696320602528172,149265.86,2.0607994E-13,3.9704572E10,3.6833903E10,2.71675955E9
24,0.5694769808882578,0.0762960379145412,0.5729314502229867,0.6977183573821887,0.23568388539404805,0.05557316852579222,0.08322263775148159,0.7617978198170943,149263.33,5.2195115E-10,2.79676334E10,2.59912069E10,1.88559693E9
1380,0.378312699898144,0.27000922984277864,0.05087150470594237,0.40710414078525603,0.2769724503385015,0.14606674972882583,0.34852865222085255,0.42347018566260175,147602.95,2.153707E-12,3.02172186E9,2.47708442E9,3.2733184E8
1381,0.512342272801817,0.1260066521521308,0.37855920281198363,0.5021260422372145,0.20588617349386978,0.06122999829610507,0.11227844329245588,0.6458576639377027,147602.88,7.675055E-11,1.39689411E10,1.23975393E10,1.2931616E9
1382,0.5801207782208118,0.026484481309501984,0.5171866948221814,0.6018545393965832,0.20097093632441623,-1.731992286357588E-4,0.031987662412191246,0.8146234734232085,147602.75,1.26551295E-11,6.9861851E10,6.3669793E10,5.9246367E9
1383,0.4140674122748115,0.09605367694404987,0.25049670202225605,0.6139740235490319,0.1812019198147099,0.05003882400315508,0.07927518499422775,0.9360408005895229,147598.73,1.3825882E-12,5.0740212E10,4.7013704E10,3.60104422E9
1384,0.4369782665001062,0.15178216614143936,0.15882587875223364,0.6504815177550556,0.16905927064931522,0.0838532423668258,0.16579853916258885,0.939926508260411,147598.61,7.9640163E-13,3.9421899E10,3.7155054E10,2.17048525E9
1385,0.41027779911271467,0.22955933527659944,0.289588116480083,0.6252627348777026,0.20271748293639652,0.11000371153504993,0.14115367729257935,0.9428541295216986,147598.58,1.0662281E-14,3.29193349E10,3.12265318E10,1.60970445E9
1386,0.40180603579787866,0.17456450606868212,0.25368777362881123,0.7067083939342895,0.19129109426885682,0.11479220115780545,0.17864795831101737,0.8846187044454485,147598.58,1.618739E-11,3.02889902E10,2.83265024E10,1.90404902E9
3209,0.12162737719373029,0.2338631469637802,0.44637992009810523,0.5232114874275813,0.27313313265587974,0.16296522420675907,0.2513838667089438,0.4528681476759209,9119139.0,8.857222E-9,8.5092114E10,6.8942684E10,2253685.0
3210,0.11260750850535517,0.23940579912583648,0.4564428127187168,0.529113856113207,0.27880764351835663,0.17721306628399205,0.265451414821079,0.3950920427456917,9119124.0,1.6509533E-8,9.6189334E10,7.9869002E10,2073926.1
3211,0.12413677042552829,0.25546245456649086,0.4612586644650598,0.5302161748011023,0.2861120922407948,0.1840098658056204,0.2762163597752582,0.33708746688878466,9119042.0,1.9096578E-6,9.7980596E10,8.1591083E10,3434100.8
3212,0.15132911415928962,0.2598600580427156,0.4584879519856214,0.5551079330962646,0.2953634762228261,0.19812948595336005,0.3015691655835581,0.4334752982543014,9112524.0,6.814584E-8,9.4173118E10,7.7704585E10,4328084.5
